copy_path	source_path	role	source_sha256	copy_sha256	reason
EVIDENCE\001__AUDITOR_PACKAGE_PROTOCOL_R3.md	External_Audits\00_AUDITOR_PACKAGE_PROTOCOL_SK.md	process-contract	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	active R3 package rules
EVIDENCE\002__P5_S1_SUPPORT_CONTRACT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\51_P5_3G7_S1_BRANCH_AND_SUPPORT_TRANSFER_CONTRACT_SK.md	primary-contract	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	frozen NID support and coverage order
EVIDENCE\003__KMPC047_PREREG_AND_EXECUTION.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\87_KMPC_047_GLOBAL_C1_NID_PRIMARY_EXTENDED_PREREGISTRATION_AND_EXECUTION_LEDGER_SK.md	primary-prereg	F4A6F4A23E9E22F16AEC59F9CC61F22D9DC02116841A7BC69462E2B213EFFB5C	F4A6F4A23E9E22F16AEC59F9CC61F22D9DC02116841A7BC69462E2B213EFFB5C	pre-result thresholds and execution record
EVIDENCE\004__KMPC047_RESULT_AUDIT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\88_KMPC_047_GLOBAL_C1_NID_PRIMARY_EXTENDED_RESULT_AND_AUDIT_SK.md	derived-audit	E8BE3F2D4B6DAA53D5277E6960F712C5FD0C1918EA83CC2C81F51B9C9B068463	E8BE3F2D4B6DAA53D5277E6960F712C5FD0C1918EA83CC2C81F51B9C9B068463	authoritative scoped assessment
EVIDENCE\005__KMPC047_REFERENCE_RESULT.json	scripts\results\k_mpc_005\RUN_KMPC_047_P5_3G7_NID_C1_PRIMARY_EXTENDED_COVERAGE.json	raw-reference	EED63396DB99C0818306C581413572BE647630CFD0433A8F05A1DCE704DC696A	EED63396DB99C0818306C581413572BE647630CFD0433A8F05A1DCE704DC696A	reference raw payload
EVIDENCE\006__KMPC047_RUNNER.py	scripts\291_script_KMPC_047_P5_3g7_NID_C1_primary_extended_coverage.py	primary-runner	EF217D9AD729CFA0B112018B5D4C385E983564F185A1543F3BC245F812FEAF95	EF217D9AD729CFA0B112018B5D4C385E983564F185A1543F3BC245F812FEAF95	official entrypoint
EVIDENCE\007__NID_C1_COVERAGE_BASE.py	scripts\baseScripts\p5_general_synchronous\nid_c1_coverage.py	primary-base	EEEE74848B6F4413914F0CC60230CC824982C7E485A38C77C4495F807975A2CD	EEEE74848B6F4413914F0CC60230CC824982C7E485A38C77C4495F807975A2CD	direct NID calculation base
EVIDENCE\008__PYTHON_FORMAL_ERROR_LEDGER.md	scripts\00_PYTHON_FORMAL_ERROR_LEDGER.md	process-history	184A1167758D453A2A49670BC6D6668EC2EC9284A3ED437C47224BEFEA146EFF	184A1167758D453A2A49670BC6D6668EC2EC9284A3ED437C47224BEFEA146EFF	known error prevention
EVIDENCE\009__BASE_CDI_C1_COVERAGE.py	scripts\baseScripts\p5_general_synchronous\cdi_c1_coverage.py	primary-base	D57CA8CA5571A07440A987F4FB0DDA08A40DAF7EA8C95AF929FC5C936F2FCE0F	D57CA8CA5571A07440A987F4FB0DDA08A40DAF7EA8C95AF929FC5C936F2FCE0F	import closure
EVIDENCE\010__BASE_FULL_RA_B1_PREFLIGHT.py	scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight.py	primary-base	62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D	62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D	import closure
EVIDENCE\011__BASE_FULL_RA_B1_PREFLIGHT_V2.py	scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight_v2.py	primary-base	27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C	27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C	import closure
