copy_path	source_path	role	source_sha256	copy_sha256	reason
EVIDENCE\001__AUDITOR_PACKAGE_PROTOCOL_R3.md	External_Audits\00_AUDITOR_PACKAGE_PROTOCOL_SK.md	process-contract	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	active package rules
EVIDENCE\002__P5_S1_SUPPORT_CONTRACT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\51_P5_3G7_S1_BRANCH_AND_SUPPORT_TRANSFER_CONTRACT_SK.md	primary-contract	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	frozen support contract
EVIDENCE\003__KMPC048_PREREG_AND_EXECUTION.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\89_KMPC_048_GLOBAL_C1_NID_SUPPORT_STEP_2_PREREGISTRATION_AND_EXECUTION_LEDGER_SK.md	primary-prereg	A67ACCD7EE8F4E8CF314209A4B079E21D5EF06F681321FBF553BBB1F1BE08635	A67ACCD7EE8F4E8CF314209A4B079E21D5EF06F681321FBF553BBB1F1BE08635	frozen criteria and execution
EVIDENCE\004__KMPC048_RESULT_AUDIT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\90_KMPC_048_GLOBAL_C1_NID_SUPPORT_STEP_2_RESULT_AND_AUDIT_SK.md	derived-audit	AE072D94BDCEC561073EEDB04167F3A54C00F200741EF2B9EABE6098498CC999	AE072D94BDCEC561073EEDB04167F3A54C00F200741EF2B9EABE6098498CC999	authoritative scoped assessment
EVIDENCE\005__KMPC048_REFERENCE_RESULT.json	scripts\results\k_mpc_005\RUN_KMPC_048_P5_3G7_NID_SUPPORT_STEP_2_05_07.json	raw-reference	B4F320F5D850DCF78FD9EC2A5BDDEBDA87D590DA2988CF505FA7D5B25B49BF32	B4F320F5D850DCF78FD9EC2A5BDDEBDA87D590DA2988CF505FA7D5B25B49BF32	reference payload
EVIDENCE\006__KMPC048_RUNNER.py	scripts\292_script_KMPC_048_P5_3g7_NID_support_step2_05_07.py	primary-runner	9FA55116BB7CFD911CCB2D8D741280C3A5AF99C9741BA2FC5AA61A5DC2068002	9FA55116BB7CFD911CCB2D8D741280C3A5AF99C9741BA2FC5AA61A5DC2068002	official entrypoint
EVIDENCE\007__NID_SUPPORT_STEP2_BASE.py	scripts\baseScripts\p5_general_synchronous\nid_support_step2.py	primary-base	7AFA5AD9022FA3EB8BDFB5F77D573939D60B2312A0FA29493D6505695958EE5B	7AFA5AD9022FA3EB8BDFB5F77D573939D60B2312A0FA29493D6505695958EE5B	direct calculation base
EVIDENCE\008__PYTHON_FORMAL_ERROR_LEDGER.md	scripts\00_PYTHON_FORMAL_ERROR_LEDGER.md	process-history	184A1167758D453A2A49670BC6D6668EC2EC9284A3ED437C47224BEFEA146EFF	184A1167758D453A2A49670BC6D6668EC2EC9284A3ED437C47224BEFEA146EFF	known errors
EVIDENCE\009__BASE_FULL_RA_B1_PREFLIGHT.PY	scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight.py	primary-base	62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D	62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D	import closure
EVIDENCE\010__BASE_FULL_RA_B1_PREFLIGHT_V2.PY	scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight_v2.py	primary-base	27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C	27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C	import closure
