copy_path	source_path	role	source_sha256	copy_sha256	reason
EVIDENCE\001__AUDITOR_PACKAGE_PROTOCOL_R3.md	External_Audits\00_AUDITOR_PACKAGE_PROTOCOL_SK.md	process-contract	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	active package rules
EVIDENCE\002__P5_S1_SUPPORT_CONTRACT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\51_P5_3G7_S1_BRANCH_AND_SUPPORT_TRANSFER_CONTRACT_SK.md	primary-contract	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	frozen support contract
EVIDENCE\003__KMPC049_050_PREREG_AND_EXECUTION.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\91_KMPC_049_NID_ORDER7_M3_PROVENANCE_PREREGISTRATION_AND_EXECUTION_LEDGER_SK.md	primary-prereg	811875024DB6ACD8768DEEE54A70ABDD722D95B902D41CA79BBA8C43D94A40A1	811875024DB6ACD8768DEEE54A70ABDD722D95B902D41CA79BBA8C43D94A40A1	frozen criteria and execution
EVIDENCE\004__KMPC050_RESULT_AUDIT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\92_KMPC_050_NID_ORDER7_M3_PROVENANCE_RESULT_AND_AUDIT_SK.md	derived-audit	2DA6A5E06C16210B2DF95072DF24EED89A8686A16DA63381E50B5CC50561AF72	2DA6A5E06C16210B2DF95072DF24EED89A8686A16DA63381E50B5CC50561AF72	authoritative scoped assessment
EVIDENCE\005__KMPC050_REFERENCE_RESULT.json	scripts\results\k_mpc_005\RUN_KMPC_050_P5_3G7_NID_ORDER7_M3_PROVENANCE_RANK_FILTER.json	raw-reference	8D527E822959D861EB33994233D22BDF752C368025AC66F28C6F820DEF479F65	8D527E822959D861EB33994233D22BDF752C368025AC66F28C6F820DEF479F65	reference payload
EVIDENCE\006__KMPC049_TECHNICAL_FAILURE.json	scripts\results\k_mpc_005\RUN_KMPC_049_P5_3G7_NID_ORDER7_M3_PROVENANCE_TECHNICAL_FAILURE.json	technical-failure	EB5EA48145CB52C95826A3111ABBD2DF0C05AC531B8471DF704E2032FA0B6E35	EB5EA48145CB52C95826A3111ABBD2DF0C05AC531B8471DF704E2032FA0B6E35	PF-075 immutable trace
EVIDENCE\007__KMPC049_RUNNER_DO_NOT_RUN.py	scripts\293_script_KMPC_049_P5_3g7_NID_order7_M3_provenance.py	historical-runner	BA3C88F96CD450CE4E78A1F4C010C2D43C461C764F1319E6FBD8655D7D6BB6D3	BA3C88F96CD450CE4E78A1F4C010C2D43C461C764F1319E6FBD8655D7D6BB6D3	DO_NOT_RUN PF-075 source
EVIDENCE\008__KMPC049_BASE_V1_DO_NOT_RUN.py	scripts\baseScripts\p5_general_synchronous\nid_order7_m3_provenance.py	historical-base	DC7C178B8A73DC97B5FC6CCAB97FE88F3E95F59F0EDBF05985451DD6572319C3	DC7C178B8A73DC97B5FC6CCAB97FE88F3E95F59F0EDBF05985451DD6572319C3	DO_NOT_RUN PF-075 source
EVIDENCE\009__KMPC050_RUNNER.py	scripts\294_script_KMPC_050_P5_3g7_NID_order7_M3_provenance_rank_filter.py	primary-runner	F6A30366769597044EDD37C7ECF67782A6B3D526810959CAFFBCC4F62077628A	F6A30366769597044EDD37C7ECF67782A6B3D526810959CAFFBCC4F62077628A	official entrypoint
EVIDENCE\010__KMPC050_BASE_V2.py	scripts\baseScripts\p5_general_synchronous\nid_order7_m3_provenance_v2_rank_filter.py	primary-base	D583209F7B1CCB2648EFF3DD1D59F3F4382C9E1FDB66F7854404F3BE4B9AA025	D583209F7B1CCB2648EFF3DD1D59F3F4382C9E1FDB66F7854404F3BE4B9AA025	rank-filtered calculation base
