copy_path	source_path	role	source_sha256	copy_sha256	reason
EVIDENCE\001__AUDITOR_PACKAGE_PROTOCOL_R3.md	External_Audits\00_AUDITOR_PACKAGE_PROTOCOL_SK.md	process-contract	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	active package rules
EVIDENCE\002__P5_S1_SUPPORT_CONTRACT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\51_P5_3G7_S1_BRANCH_AND_SUPPORT_TRANSFER_CONTRACT_SK.md	primary-contract	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424	frozen support contract
EVIDENCE\003__KMPC051_PREREG_EXECUTION.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\93_KMPC_051_NID_M1_DEPTH_5_7_PREREGISTRATION_AND_EXECUTION_LEDGER_SK.md	primary-prereg	E41473618B9EB9F1185698A650E773B6038CA62FFD4291D16DECB867A63AE47C	E41473618B9EB9F1185698A650E773B6038CA62FFD4291D16DECB867A63AE47C	depth diagnosis criteria
EVIDENCE\004__KMPC051_RESULT_AUDIT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\94_KMPC_051_NID_M1_DEPTH_5_7_RESULT_AND_AUDIT_SK.md	derived-audit	774815668E8BA967BCB3794D7B29C207F319E64804EE7C61F6BD3DD9AD95F0EE	774815668E8BA967BCB3794D7B29C207F319E64804EE7C61F6BD3DD9AD95F0EE	depth diagnosis assessment
EVIDENCE\005__KMPC051_REFERENCE.json	scripts\results\k_mpc_005\RUN_KMPC_051_P5_3G7_NID_M1_DEPTH_5_7.json	raw-reference	AF088030BA709F08D40D825B9477C9A84BA330705CDDFB1C12C52B0DD3FC1E5E	AF088030BA709F08D40D825B9477C9A84BA330705CDDFB1C12C52B0DD3FC1E5E	depth diagnosis raw
EVIDENCE\006__KMPC051_RUNNER.py	scripts\295_script_KMPC_051_P5_3g7_NID_M1_depth_5_7.py	lineage-runner	5506A1EFADE52EEEB626CD03F0BF5F5555B94E166A2E2CC7B863C411C142ECBF	5506A1EFADE52EEEB626CD03F0BF5F5555B94E166A2E2CC7B863C411C142ECBF	depth diagnosis entrypoint
EVIDENCE\007__KMPC051_BASE.py	scripts\baseScripts\p5_general_synchronous\nid_m1_depth_5_7.py	lineage-base	8B4572BBA51844471782D686F4199436186491E0F8274BD5CF1CB2EAC76B8B9C	8B4572BBA51844471782D686F4199436186491E0F8274BD5CF1CB2EAC76B8B9C	depth diagnosis base
EVIDENCE\008__KMPC052_PREREG_EXECUTION.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\95_KMPC_052_NID_DEPTH7_NUMERICAL_BOUNDARY_PREREGISTRATION_AND_EXECUTION_LEDGER_SK.md	primary-prereg	862BB9D0F8D019500AB11C8FC6A7A5BBC02999F22D73CFF1465A18520F8ED827	862BB9D0F8D019500AB11C8FC6A7A5BBC02999F22D73CFF1465A18520F8ED827	boundary criteria
EVIDENCE\009__KMPC052_RESULT_AUDIT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\96_KMPC_052_NID_DEPTH7_NUMERICAL_BOUNDARY_RESULT_AND_AUDIT_SK.md	derived-audit	30AE0858C0F06114D31B1FAC5AE2E7B949C159AB2A19A13737DE68B4D76019F1	30AE0858C0F06114D31B1FAC5AE2E7B949C159AB2A19A13737DE68B4D76019F1	boundary assessment
EVIDENCE\010__KMPC052_REFERENCE.json	scripts\results\k_mpc_005\RUN_KMPC_052_P5_3G7_NID_DEPTH7_NUMERICAL_BOUNDARY.json	runtime-prerequisite	FDEE962EED16EDF459D7D8504833AB1206AEF1BFC8178A356A88A121CF196C4C	FDEE962EED16EDF459D7D8504833AB1206AEF1BFC8178A356A88A121CF196C4C	boundary raw and official prerequisite
