runtime_path	role	sha256	required_by
REPRO\scripts\297_script_KMPC_053_P5_3g7_NID_support_closure.py	entrypoint	B9B89D725F881067755E92D49C102D986C75D07A0EAE5B6DBD5DD620983DCCA1	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight.py	python-import	62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\full_ra_b1_preflight_v2.py	python-import	27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\full_ra_contract.py	python-import	F3839DA931D24939FA9C5925FD29B1484E722D1A0F24117DC91EBE5F4436D464	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\full_ra_m3_seed.py	python-import	070F217B45A385369ECAFAA3D409A1210BAE3C3AF8A600A9171225B258751BF2	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\mode_resolved_puiseux.py	python-import	5A89CF82006CB5ECC1D8B4BE1FD56A463453EE3D6261968CB64DE8CCF2C8B7AE	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\mode_resolved_puiseux_v2_m1_anchored.py	python-import	5DE2C280B0E9DAF528A9E3011368361B37AE53DE38827FB6F6CE4AB2019A4455	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\s1_collective_contract.py	python-import	F535EE15137BBD6F9C0379821C9CC94DED8EC56037B6105B75BEF65A5884EE68	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\s_c0_coefficient_passport.py	python-import	C370B610815AFAC345C990E3CFE516D616873F39598F468A5ADBF2C65A2A6B95	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\s_c0_coefficient_passport_v2_numpy_scalar.py	python-import	06EE03C939FBCCFA6FA130421EEF98D0B8CC7571937EF02A7A46A57367534C11	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\cdi_c1_coverage.py	python-import	D57CA8CA5571A07440A987F4FB0DDA08A40DAF7EA8C95AF929FC5C936F2FCE0F	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\nid_c1_coverage.py	python-import	EEEE74848B6F4413914F0CC60230CC824982C7E485A38C77C4495F807975A2CD	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\cdi_support_ladder.py	python-import	A8257E2195E2AB61B5C4195B80EA44EE7669B5A52F9C8440BA5F5244190E3068	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\nid_support_step2.py	python-import	7AFA5AD9022FA3EB8BDFB5F77D573939D60B2312A0FA29493D6505695958EE5B	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\nid_order7_m3_provenance.py	python-import	DC7C178B8A73DC97B5FC6CCAB97FE88F3E95F59F0EDBF05985451DD6572319C3	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\nid_order7_m3_provenance_v2_rank_filter.py	python-import	D583209F7B1CCB2648EFF3DD1D59F3F4382C9E1FDB66F7854404F3BE4B9AA025	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\nid_m1_depth_5_7.py	python-import	8B4572BBA51844471782D686F4199436186491E0F8274BD5CF1CB2EAC76B8B9C	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\m1_order7_numerical_refinement.py	python-import	CE29222FCE45DAA99A7B8E1FFCC06E9471D648A2B61C14DA05F653DBA9E7A80C	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\m1_order7_numerical_refinement_v2_householder.py	python-import	81D7EA664677158E98340E39F395DE2EE0DAB6EEFCFFA785089F51E62434193A	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\m1_order7_numerical_refinement_v3_context_owner.py	python-import	1E35D147049F981F901B9A2B72C76EBE5705F5D19A04447E742AE978A9BC5278	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\nid_depth7_numerical_boundary.py	python-import	D5016BD007FD59D4BB715967366774478AFFD344C1B5CD95ACF6F5A9465DD7C8	smoke+audit
REPRO\scripts\baseScripts\p5_general_synchronous\nid_support_closure.py	python-import	0B9DA3BBF95FE14878DBD2604C7B8E9619BE9F94A4C147C4FAA79299DC165F5A	smoke+audit
REPRO\scripts\results\k_mpc_005\RUN_KMPC_052_P5_3G7_NID_DEPTH7_NUMERICAL_BOUNDARY.json	runtime-prerequisite	FDEE962EED16EDF459D7D8504833AB1206AEF1BFC8178A356A88A121CF196C4C	smoke+audit
REPRO\scripts\results\k_mpc_005\RUN_KMPC_048_P5_3G7_NID_SUPPORT_STEP_2_05_07.json	runtime-prerequisite	B4F320F5D850DCF78FD9EC2A5BDDEBDA87D590DA2988CF505FA7D5B25B49BF32	smoke+audit
