"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__C3_BI_RUNTIME_BLOCKER_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/213_KMPC_131_137_C3_BI_RUNTIME_BLOCKER_INTERNAL_AUDIT_SK.md"	"internal-audit"	"F01C9F2E545DEE1090F8F8CE6AB33A27AC4C08567A22551B35E4C774788BB77C"	"F01C9F2E545DEE1090F8F8CE6AB33A27AC4C08567A22551B35E4C774788BB77C"	"Autoritatívne oddelenie runtime blockera od fyzikálneho STOP"
"EVIDENCE/002__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"authoritative-plan"	"63890163E2173831E991A4C301CA5873444CC97E3C3E231070A92768BFF7553D"	"63890163E2173831E991A4C301CA5873444CC97E3C3E231070A92768BFF7553D"	"Aktuálny C3 register a runtime rozhodovacia vetva"
"EVIDENCE/003__METHODOLOGY_RULES.md"	"tracks/METHODOLOGY/05_WORKING_Methodology_Rules_and_Question_Register_SK.md"	"methodology"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"Projektová metodická autorita"
"EVIDENCE/004__KMPC134_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/209_KMPC_134_C3_BI_K0P15_HP_M1_EXACT_RESUME_PREREGISTRATION_SK.md"	"preregistration"	"9DF84DFA462532CDC2E045A11CC2409F7E9D56918941C6C1EDAACFEE9C38DE28"	"9DF84DFA462532CDC2E045A11CC2409F7E9D56918941C6C1EDAACFEE9C38DE28"	"Pôvodný exact-resume scope"
"EVIDENCE/005__KMPC135_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/210_KMPC_135_C3_BI_K0P15_PHASE_SEPARATED_EXACT_RESUME_PREREGISTRATION_SK.md"	"preregistration"	"C03797A5DA2BFE585DAE770DF53D1EAE3BF9F0FFB5DBBBC50DFF8AEFF5EA221B"	"C03797A5DA2BFE585DAE770DF53D1EAE3BF9F0FFB5DBBBC50DFF8AEFF5EA221B"	"Binary64 versus decimal80 phase split"
"EVIDENCE/006__KMPC136_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/211_KMPC_136_C3_BI_K0P15_TWO_WAVE_EXACT_RESUME_PREREGISTRATION_SK.md"	"preregistration"	"BC81263EE6D06007A68B852E3C320C7DEA0F06DB14DF6FA46C1D80607032EA6E"	"BC81263EE6D06007A68B852E3C320C7DEA0F06DB14DF6FA46C1D80607032EA6E"	"Two-wave runtime architecture"
"EVIDENCE/007__KMPC137_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/212_KMPC_137_C3_BI_K0P15_FUEL_ORDER_ROUNDTRIP_PREREGISTRATION_SK.md"	"preregistration"	"F40A93C56C2184D2C3AEF2B1228AEEEECF789D28C62F13C0F553B67903BB03FD"	"F40A93C56C2184D2C3AEF2B1228AEEEECF789D28C62F13C0F553B67903BB03FD"	"Frozen fuel-order repair"
"EVIDENCE/008__PYTHON_FORMAL_ERROR_LEDGER.md"	"scripts/00_PYTHON_FORMAL_ERROR_LEDGER.md"	"technical-ledger"	"42ACE777301653477425D08AC3CC777BC5327CB1FE086EF1BB59684552A6F8E6"	"42ACE777301653477425D08AC3CC777BC5327CB1FE086EF1BB59684552A6F8E6"	"PF-120 až PF-123 a povinné prevencie"
"EVIDENCE/009__DO_NOT_RUN_REGISTRY.md"	"scripts/00_DO_NOT_RUN_SCRIPT_REGISTRY.md"	"technical-ledger"	"137DFC8D1A40C4F5BC9B2F23C379FE6BB41DE399F876F0ED442554DE45EDBE23"	"137DFC8D1A40C4F5BC9B2F23C379FE6BB41DE399F876F0ED442554DE45EDBE23"	"Zákaz opakovania runnerov 378 až 381"
"EVIDENCE/010__KMPC131_BI_K0p005.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_BI_K0p005_ZERO_VARIANT_PAIR.json"	"raw-result"	"28337F4D16137DE29B197A556A88E96B0F326510CCFCB961AD5598D804886356"	"28337F4D16137DE29B197A556A88E96B0F326510CCFCB961AD5598D804886356"	"BI/.005 computed candidate"
