"runtime_path"	"role"	"sha256"	"required_by"
"EVIDENCE/018__KMPC112_RUNNER.py"	"static-primary-source"	"A3AA1E8F507D44AC4789B1A6EA2CE54D7BA788BC7EDB94558737FC181FE90510"	"T1 historical runtime contract audit; not executable closure"
"EVIDENCE/019__EXACT_DRIVER_ASSEMBLY.py"	"static-primary-source"	"4C11A3EE3C08B084E53E5F313152A29C768E2F0F48D74588D0F5E37688B50B46"	"T1 exact driver method audit"
"EVIDENCE/020__EXACT_HOLDOUT_ASSEMBLY.py"	"static-primary-source"	"E0F423357AE291FDEDE6BACC51D45F5F0D4326CD81C3A8453538B7A71FDE3846"	"T1 exact holdout method audit"
"EVIDENCE/021__EXACT_HOLDOUT_HASH_OWNER.py"	"static-primary-source"	"9DC7C357D15580AFA3276BA4E3294870B69FAD6117F3A25F46DB1FADE5EBE865"	"T1 holdout provenance audit"
"EVIDENCE/022__EXACT_HOLDOUT_FIXTURE.py"	"static-primary-source"	"0FF2B72AFB5A480A891A71685DBA3394566C6945385F33913DAEA888AACA1C99"	"T1 holdout fixture audit"
"EVIDENCE/023__KMPC112_EXACT_RESUME.py"	"static-primary-source"	"1EC7DF765617A978940105129D74F02C1419B726CC023977F4DB426DDA5A33C4"	"T1 exact-resume lineage audit"
"EVIDENCE/024__KMPC112_JSON_PARITY.py"	"static-primary-source"	"067CFDBBA95712B04FCD8D571537D751A441B41F4B479FCFB54D7F7AAB281DA5"	"T1 successful frozen source audit"
"EVIDENCE/025__KMPC136_TWO_WAVE_BASE.py"	"static-primary-source"	"3313C8861856289CFAC44B336B73D3AC4C7E153913DCFFFC3B1F3EFA6BA2802F"	"T1 two-wave architecture audit"
"EVIDENCE/026__KMPC137_FUEL_ORDER_WRAPPER.py"	"static-primary-source"	"489ED57D2F874CAC60E7733050C7DB4E8D59AABAD197827965F6322B80515D0D"	"T1 order-only wrapper audit"
"EVIDENCE/027__KMPC137_RUNNER.py"	"static-primary-source"	"D8117F3F79A8614E42F8176BA15F63421235ABA65F698B7D72557C48D04FA85C"	"T1 current runtime cap audit"

