"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__C3_BI_MODE_CLOSURE_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/218_KMPC_138_141_C3_BI_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"derived"	"A6EA261E29733033090318CEE321C2C235F61584AB742CED13A3C12FF4D913F7"	"A6EA261E29733033090318CEE321C2C235F61584AB742CED13A3C12FF4D913F7"	"authoritative internal BI mode closure audit"
"EVIDENCE/002__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"context"	"A7B384F00900C8019194A59AB5445E29BD39B7A59A36CC7FD7E3328EB4F761BC"	"A7B384F00900C8019194A59AB5445E29BD39B7A59A36CC7FD7E3328EB4F761BC"	"authoritative navigation and C3 accounting"
"EVIDENCE/003__PREVIOUS_C3_BI_RUNTIME_BLOCKER_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/213_KMPC_131_137_C3_BI_RUNTIME_BLOCKER_INTERNAL_AUDIT_SK.md"	"context"	"F01C9F2E545DEE1090F8F8CE6AB33A27AC4C08567A22551B35E4C774788BB77C"	"F01C9F2E545DEE1090F8F8CE6AB33A27AC4C08567A22551B35E4C774788BB77C"	"decision lineage before explicit 45-s choice"
"EVIDENCE/004__KMPC138_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/214_KMPC_138_C3_BI_K0P15_LOCAL_45S_EXACT_EXCEPTION_PREREGISTRATION_SK.md"	"primary"	"E2C68786407AF66F98224A4FB62C6E09EC40ECD0E8BEB5482D78A0239426B08E"	"E2C68786407AF66F98224A4FB62C6E09EC40ECD0E8BEB5482D78A0239426B08E"	"initial local 45-s preregistration"
"EVIDENCE/005__KMPC139_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/215_KMPC_139_C3_BI_K0P15_LOCAL_EXACT_DEADLINE_OWNER_PREREGISTRATION_SK.md"	"primary"	"4E17378889DFA55AFD0124C6E1290BD8FBD4B9A44B9092AEB4260FE3D9D27BD5"	"4E17378889DFA55AFD0124C6E1290BD8FBD4B9A44B9092AEB4260FE3D9D27BD5"	"deadline-owner correction preregistration"
"EVIDENCE/006__KMPC140_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/216_KMPC_140_C3_BI_K0P15_READ_ONLY_AGGREGATE_PREREGISTRATION_SK.md"	"primary"	"C87B3AE09D9BCD4289D4C7F251385FC5F312247C50EED3C96B2139E17056E770"	"C87B3AE09D9BCD4289D4C7F251385FC5F312247C50EED3C96B2139E17056E770"	"schema alias recovery preregistration"
"EVIDENCE/007__KMPC141_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/217_KMPC_141_C3_BI_K0P15_SUPERSESSION_SCOPE_CORRECTION_PREREGISTRATION_SK.md"	"primary"	"F6D25E10D3522EB792AC571FA7BE52DD684141356A5753D6919E021A08018560"	"F6D25E10D3522EB792AC571FA7BE52DD684141356A5753D6919E021A08018560"	"logical predicate correction preregistration"
"EVIDENCE/008__PYTHON_FORMAL_ERROR_LEDGER.md"	"scripts/00_PYTHON_FORMAL_ERROR_LEDGER.md"	"context"	"60D65D77F929E72BFB73D10EFBBA5A6F8D06B9594B8DA2CF9B183CC8F704299D"	"60D65D77F929E72BFB73D10EFBBA5A6F8D06B9594B8DA2CF9B183CC8F704299D"	"PF-124 through PF-126 causes and prevention"
"EVIDENCE/009__DO_NOT_RUN_REGISTRY.md"	"scripts/00_DO_NOT_RUN_SCRIPT_REGISTRY.md"	"context"	"4E3B2CF73EFAB034AD01BC49DA0AFDEC18AF6B7F622310F468D5E3067EDED7E6"	"4E3B2CF73EFAB034AD01BC49DA0AFDEC18AF6B7F622310F468D5E3067EDED7E6"	"quarantine status for superseded runners"
"EVIDENCE/010__KMPC131_BI_K0p005_PASS.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_BI_K0p005_ZERO_VARIANT_PAIR.json"	"raw-result"	"28337F4D16137DE29B197A556A88E96B0F326510CCFCB961AD5598D804886356"	"28337F4D16137DE29B197A556A88E96B0F326510CCFCB961AD5598D804886356"	"BI k=.005 pair authority"
"EVIDENCE/011__KMPC131_BI_K0p05_PASS.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_BI_K0p05_ZERO_VARIANT_PAIR.json"	"raw-result"	"81E27A42B8B0FB3FB405330279D131C725808CA17D38B97216B3BEE25E828937"	"81E27A42B8B0FB3FB405330279D131C725808CA17D38B97216B3BEE25E828937"	"BI k=.05 pair authority"
"EVIDENCE/012__KMPC139_SIX_SUCCESSFUL_WORKERS_PARENT_FAILURE.json"	"scripts/results/k_mpc_005/RUN_KMPC_139_P5_3G7_C3_BI_K0p15_ZERO_VARIANT_PAIR_LOCAL_45S_HP_M1_EXACT_RESUME_TECHNICAL_FAILURE.json"	"raw-result"	"FBACDAB50EAC1D7ADB38104560F04806252E5A2DD19E605289A33B7E35FC334B"	"FBACDAB50EAC1D7ADB38104560F04806252E5A2DD19E605289A33B7E35FC334B"	"four coefficient and two exact worker payloads"
"EVIDENCE/013__KMPC141_BI_K0p15_PASS_CANDIDATE.json"	"scripts/results/k_mpc_005/RUN_KMPC_141_P5_3G7_C3_BI_K0p15_ZERO_VARIANT_PAIR_LOCAL_45S_HP_M1_EXACT_RESUME_SUPERSESSION_SCOPE_CORRECTED.json"	"raw-result"	"6F44B553BD01BB0516389643511C2858D0EBEA61380C4A8ABFE4E572909231A2"	"6F44B553BD01BB0516389643511C2858D0EBEA61380C4A8ABFE4E572909231A2"	"authoritative-reference output for read-only reproduction"
"EVIDENCE/014__KMPC112_HISTORICAL_45S_EXACT_AUTHORITY.json"	"scripts/results/k_mpc_005/RUN_KMPC_112_P5_3G7_C2_BI_K0p15_HP_M1_CHECKPOINT_EXACT_RESUME_JSON_PARITY_SUCCESSOR.json"	"raw-result"	"FAF52256489BA7C105F9125C1ED9A68358C0187E5F7B8B1164E1BA036A6507A1"	"FAF52256489BA7C105F9125C1ED9A68358C0187E5F7B8B1164E1BA036A6507A1"	"historical 45-s exact solver runtime authority"
"EVIDENCE/015__KMPC139_LOCAL_EXACT_DEADLINE_RUNNER.py"	"scripts/383_script_KMPC_139_P5_3g7_C3_BI_k0p15_local_exact_deadline_owner.py"	"primary"	"36C04196BAAE6B40188822B961B43655A550702D2886B2EE55B7DC96DE7610B4"	"36C04196BAAE6B40188822B961B43655A550702D2886B2EE55B7DC96DE7610B4"	"local 45-s deadline owner and process architecture"
"EVIDENCE/016__KMPC140_READ_ONLY_AGGREGATOR.py"	"scripts/384_script_KMPC_140_P5_3g7_C3_BI_k0p15_read_only_aggregate.py"	"primary"	"F2B4D0D377BE437307FA07391619BC7A797B37EE7FC7C8D519D799D7778A5153"	"F2B4D0D377BE437307FA07391619BC7A797B37EE7FC7C8D519D799D7778A5153"	"schema alias-only parent recovery"
"EVIDENCE/017__C3_BI_TWO_WAVE_EXACT_BASE.py"	"scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel_v8_bi_k0p15_two_wave_exact_resume.py"	"primary"	"3313C8861856289CFAC44B336B73D3AC4C7E153913DCFFFC3B1F3EFA6BA2802F"	"3313C8861856289CFAC44B336B73D3AC4C7E153913DCFFFC3B1F3EFA6BA2802F"	"two-wave exact merge and legacy predicate source"
"EVIDENCE/018__C3_BI_FUEL_ORDER_WRAPPER.py"	"scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel_v9_bi_k0p15_fuel_order_roundtrip.py"	"primary"	"489ED57D2F874CAC60E7733050C7DB4E8D59AABAD197827965F6322B80515D0D"	"489ED57D2F874CAC60E7733050C7DB4E8D59AABAD197827965F6322B80515D0D"	"frozen exact wrapper used by KMPC-139"
