"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__C3_NID_MODE_CLOSURE_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/231_KMPC_131_145_C3_NID_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"derived"	"AEAF523FFFBAEC208C20063325B58E2F9BE6FEE1FAA69128262074FF37581445"	"AEAF523FFFBAEC208C20063325B58E2F9BE6FEE1FAA69128262074FF37581445"	"authoritative NID mode closure"
"EVIDENCE/002__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"context"	"78A33B4F2DD847462394FE8C98318D256BFEB052E55EAEBC5DB3C5AAF16CA7CE"	"78A33B4F2DD847462394FE8C98318D256BFEB052E55EAEBC5DB3C5AAF16CA7CE"	"authoritative current accounting and navigation"
"EVIDENCE/003__NID_K0p005_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/220_KMPC_131_C3_NID_K0P005_ZERO_PAIR_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"71223C4F004A3B8FA17BBC40BE5F3123629DEBF655D45FAA3DC92FB57BAF38B3"	"71223C4F004A3B8FA17BBC40BE5F3123629DEBF655D45FAA3DC92FB57BAF38B3"	"NID k=.005 scoped internal verdict"
"EVIDENCE/004__KMPC142_IDENTITY_ADAPTER_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/222_KMPC_142_C3_NID_K0P05_IDENTITY_SCHEMA_ADAPTER_PREREGISTRATION_SK.md"	"primary"	"D13F1765662BA86CC0B31B2B604DE0B1553535612C2268D309186E9D49517669"	"D13F1765662BA86CC0B31B2B604DE0B1553535612C2268D309186E9D49517669"	"PF-127 exact schema adapter preregistration"
"EVIDENCE/005__KMPC143_REFINEMENT_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/224_KMPC_143_C3_NID_K0P05_SAME_MATRIX_REFINEMENT_PREREGISTRATION_SK.md"	"primary"	"71623621161E62E4D7A41FDA05735A2C9DF2488B1C1B0A967F41E1F89EDAF425"	"71623621161E62E4D7A41FDA05735A2C9DF2488B1C1B0A967F41E1F89EDAF425"	"NID k=.05 refinement preregistration"
"EVIDENCE/006__NID_K0p05_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/225_KMPC_143_C3_NID_K0P05_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"4865F8C88A65F3928A3917140D797E750EEBA8DDA63CC462930502F9ED7954A1"	"4865F8C88A65F3928A3917140D797E750EEBA8DDA63CC462930502F9ED7954A1"	"NID k=.05 scoped internal verdict"
"EVIDENCE/007__NID_K0p15_INITIAL_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/226_KMPC_131_C3_NID_K0P15_ZERO_PAIR_PREREGISTRATION_SK.md"	"primary"	"7ADDA4AAA5FA9FE6EED08B740EE2911C7864D2D8381E14A40E9EE167CB7152DA"	"7ADDA4AAA5FA9FE6EED08B740EE2911C7864D2D8381E14A40E9EE167CB7152DA"	"NID k=.15 initial frozen preregistration"
"EVIDENCE/008__NID_K0p15_INITIAL_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/227_KMPC_131_C3_NID_K0P15_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"1651E1F33E3A7539BE7F62C6FEE5C9A79639EFC0D94D8A46925CDFBC2558B3D0"	"1651E1F33E3A7539BE7F62C6FEE5C9A79639EFC0D94D8A46925CDFBC2558B3D0"	"gamma0 PASS and af0 numerical boundary"
"EVIDENCE/009__KMPC144_REFINEMENT_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/228_KMPC_144_C3_NID_K0P15_AF0_SAME_MATRIX_REFINEMENT_PREREGISTRATION_SK.md"	"primary"	"04B858559CD08D0A6BC4916C96CBE73E74A94D44AC2F4DA0DF7D66384023B783"	"04B858559CD08D0A6BC4916C96CBE73E74A94D44AC2F4DA0DF7D66384023B783"	"af0 audit-only refinement preregistration"
"EVIDENCE/010__KMPC144_FALSE_NEGATIVE_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/229_KMPC_144_C3_NID_K0P15_FALSE_NEGATIVE_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"08C402311D94F71F6BA46B8E554F5CD21A315D11F29A9312C112C83C6BE058FC"	"08C402311D94F71F6BA46B8E554F5CD21A315D11F29A9312C112C83C6BE058FC"	"PF-128 parity false-negative localization"
"EVIDENCE/011__KMPC145_READ_ONLY_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/230_KMPC_145_C3_NID_K0P15_READ_ONLY_PARITY_SCOPE_CORRECTION_PREREGISTRATION_SK.md"	"primary"	"EBB50727CEF611DA49B8E7FD1781BFB48F42B6D8EC5D7CE25BB4E7D2194E4D87"	"EBB50727CEF611DA49B8E7FD1781BFB48F42B6D8EC5D7CE25BB4E7D2194E4D87"	"read-only correction preregistration"
"EVIDENCE/012__PYTHON_FORMAL_ERROR_LEDGER.md"	"scripts/00_PYTHON_FORMAL_ERROR_LEDGER.md"	"context"	"376ECCFE020F8B4E34C29646048021D4AEF00FAD383D8B3E6834629C3051B8CD"	"376ECCFE020F8B4E34C29646048021D4AEF00FAD383D8B3E6834629C3051B8CD"	"PF-127 and PF-128 causes and prevention"
"EVIDENCE/013__DO_NOT_RUN_REGISTRY.md"	"scripts/00_DO_NOT_RUN_SCRIPT_REGISTRY.md"	"context"	"07CFFD272A24F6501A0C2BD1DB5B3B95A3F7AB029989E5E2BEC1B695CCBE9B23"	"07CFFD272A24F6501A0C2BD1DB5B3B95A3F7AB029989E5E2BEC1B695CCBE9B23"	"quarantine and selector state"
"EVIDENCE/014__KMPC131_NID_K0p005_PASS.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NID_K0p005_ZERO_VARIANT_PAIR.json"	"raw-result"	"2CBAD040FAA3D031CF699A7DFBC31F08E0C14C4E81B63BCBFBC1F3F67C0FD524"	"2CBAD040FAA3D031CF699A7DFBC31F08E0C14C4E81B63BCBFBC1F3F67C0FD524"	"NID k=.005 pair authority"
"EVIDENCE/015__KMPC142_NID_K0p05_REVIEW.json"	"scripts/results/k_mpc_005/RUN_KMPC_142_P5_3G7_C3_NID_K0p05_ZERO_VARIANT_PAIR.json"	"raw-result"	"95CC95E96E04E32A3EB98FEA3A7EBD5E6D64A36A43A34B1143C778DE662A76D2"	"95CC95E96E04E32A3EB98FEA3A7EBD5E6D64A36A43A34B1143C778DE662A76D2"	"NID k=.05 pre-refinement boundary"
"EVIDENCE/016__KMPC143_NID_K0p05_PASS.json"	"scripts/results/k_mpc_005/RUN_KMPC_143_P5_3G7_C3_NID_K0p05_ZERO_VARIANT_PAIR_SAME_MATRIX_REFINEMENT.json"	"raw-result"	"2F461DF24C4E7490A40411FCBDC2B98EEF4ADC19ACAFCAFDCA9007501B7D447F"	"2F461DF24C4E7490A40411FCBDC2B98EEF4ADC19ACAFCAFDCA9007501B7D447F"	"NID k=.05 final pair authority"
"EVIDENCE/017__KMPC145_NID_K0p15_PASS_REFERENCE.json"	"scripts/results/k_mpc_005/RUN_KMPC_145_P5_3G7_C3_NID_K0p15_PARITY_SCOPE_CORRECTION.json"	"raw-result"	"226BF91F7DF12953D0DF53C2CEC676190067FA8D782211C68507FA8EAD874D6A"	"226BF91F7DF12953D0DF53C2CEC676190067FA8D782211C68507FA8EAD874D6A"	"authoritative-reference output for read-only reproduction"
"EVIDENCE/018__KMPC131_FOUR_SHARD_RUNNER.py"	"scripts/375_script_KMPC_131_P5_3g7_C3_four_support_shards.py"	"primary"	"45EB5E641FB9C4F5868A4754E84A2518C1DA0D64475520027B73EAE1A6AEBBB2"	"45EB5E641FB9C4F5868A4754E84A2518C1DA0D64475520027B73EAE1A6AEBBB2"	"four-worker process architecture"
"EVIDENCE/019__KMPC143_RUNNER.py"	"scripts/387_script_KMPC_143_P5_3g7_C3_NID_k0p05_same_matrix_refinement.py"	"primary"	"F82F30F5FF00DC2AC272C949001C4641CEEA466D38C0D914E056D841550E3443"	"F82F30F5FF00DC2AC272C949001C4641CEEA466D38C0D914E056D841550E3443"	"k=.05 frozen overlay routing"
"EVIDENCE/020__KMPC144_RUNNER.py"	"scripts/388_script_KMPC_144_P5_3g7_C3_NID_k0p15_af0_same_matrix_refinement.py"	"primary"	"A1E0B0F8BC1A26149308D86421E9F46E107EF8339A3E3453D676BFDEB50AA375"	"A1E0B0F8BC1A26149308D86421E9F46E107EF8339A3E3453D676BFDEB50AA375"	"k=.15 af0-only frozen overlay routing"
