"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__C3_NIV_K0p15_FIRST_REVIEW_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/237_KMPC_131_C3_NIV_K0P15_FIRST_REVIEW_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"AE9B58F76B76705409DCD4DC93CCAED78F250ADE9851B54079B483A6C1F8A120"	"AE9B58F76B76705409DCD4DC93CCAED78F250ADE9851B54079B483A6C1F8A120"	"authoritative first-REVIEW interpretation and unchanged accounting"
"EVIDENCE/002__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"context"	"B9A4F88EDD3B671F8A0364AB6C6B884FE20DDE3CDDCCFAC57183FBB3FE80207B"	"B9A4F88EDD3B671F8A0364AB6C6B884FE20DDE3CDDCCFAC57183FBB3FE80207B"	"authoritative current navigation and register state"
"EVIDENCE/003__NIV_K0p005_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/233_KMPC_131_C3_NIV_K0P005_ZERO_PAIR_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"0ECD47A2D1C9DE1016B68F24DCFB8AD5ABCDDF0480134E3C86EA3655CEFAE084"	"0ECD47A2D1C9DE1016B68F24DCFB8AD5ABCDDF0480134E3C86EA3655CEFAE084"	"preceding NIV k=.005 scoped PASS"
"EVIDENCE/004__NIV_K0p05_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/235_KMPC_131_C3_NIV_K0P05_ZERO_PAIR_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"25D55990902762A3E06705EF2466C8FCD53ABED1D6E7EC4D5F47BCDA7C444EDB"	"25D55990902762A3E06705EF2466C8FCD53ABED1D6E7EC4D5F47BCDA7C444EDB"	"preceding NIV k=.05 scoped PASS"
"EVIDENCE/005__NIV_K0p15_PREREGISTRATION.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/236_KMPC_131_C3_NIV_K0P15_ZERO_PAIR_PREREGISTRATION_SK.md"	"primary"	"40F1F97343AA69B2DE07BD299D81C4D0E2F9DEAC325B9B74A2E7A92DFBD3462E"	"40F1F97343AA69B2DE07BD299D81C4D0E2F9DEAC325B9B74A2E7A92DFBD3462E"	"frozen question thresholds stop rule and execution ledger"
"EVIDENCE/006__PYTHON_FORMAL_ERROR_LEDGER.md"	"scripts/00_PYTHON_FORMAL_ERROR_LEDGER.md"	"context"	"376ECCFE020F8B4E34C29646048021D4AEF00FAD383D8B3E6834629C3051B8CD"	"376ECCFE020F8B4E34C29646048021D4AEF00FAD383D8B3E6834629C3051B8CD"	"formal failure taxonomy and unchanged technical-failure counter context"
"EVIDENCE/007__DO_NOT_RUN_REGISTRY.md"	"scripts/00_DO_NOT_RUN_SCRIPT_REGISTRY.md"	"context"	"F6F7CB5C24B5AB4757B9ED549514007367828A6FA0E893C25EB1BD588DB6E64F"	"F6F7CB5C24B5AB4757B9ED549514007367828A6FA0E893C25EB1BD588DB6E64F"	"immutable selector and first-REVIEW stop quarantine"
"EVIDENCE/008__KMPC131_NIV_K0p15_REVIEW_REFERENCE.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NIV_K0p15_ZERO_VARIANT_PAIR.json"	"raw-result"	"88DFD9AAD5F378CBD9F7E7D1AA9738C40855CA0EC9FD191A77C682D643A0CFE6"	"88DFD9AAD5F378CBD9F7E7D1AA9738C40855CA0EC9FD191A77C682D643A0CFE6"	"reference raw for field parity and forensic REVIEW audit"
"REPRO/scripts/375_script_KMPC_131_P5_3g7_C3_four_support_shards.py"	"scripts/375_script_KMPC_131_P5_3g7_C3_four_support_shards.py"	"executable-primary"	"45EB5E641FB9C4F5868A4754E84A2518C1DA0D64475520027B73EAE1A6AEBBB2"	"45EB5E641FB9C4F5868A4754E84A2518C1DA0D64475520027B73EAE1A6AEBBB2"	"single-copy official compile help smoke and audit runner"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_127_P5_3G7_C2_FOURIER_COVERAGE_AUTHORITATIVE_AGGREGATE.json"	"scripts/results/k_mpc_005/RUN_KMPC_127_P5_3G7_C2_FOURIER_COVERAGE_AUTHORITATIVE_AGGREGATE.json"	"runtime-prerequisite"	"CA33E4167953F2112AFF13E186E7D8E47A135FE947B837D63CCE5F7F5B0D247F"	"CA33E4167953F2112AFF13E186E7D8E47A135FE947B837D63CCE5F7F5B0D247F"	"exact C2 aggregate authority for NIV k=.15 atom"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_126_P5_3G7_C2_NIV_K0p15_SUPPORT_06_08_MULTI_RANK_REFINEMENT.json"	"scripts/results/k_mpc_005/RUN_KMPC_126_P5_3G7_C2_NIV_K0p15_SUPPORT_06_08_MULTI_RANK_REFINEMENT.json"	"runtime-prerequisite"	"1D46AFD1CDEB650A7787A5E6FE9E2304A5212FF1FE9AA47657BEAAAA557B8AA0"	"1D46AFD1CDEB650A7787A5E6FE9E2304A5212FF1FE9AA47657BEAAAA557B8AA0"	"exact nominal accepted-audit reference"
"REPRO/scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel_v3_support_shards.py"	"scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel_v3_support_shards.py"	"runtime-import"	"7FA292CF2910C5F2AEE5996DFC61498B688D2B8743615D7A0F3DFC3CA24E4C23"	"7FA292CF2910C5F2AEE5996DFC61498B688D2B8743615D7A0F3DFC3CA24E4C23"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel_v2_smoke_identity.py"	"scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel_v2_smoke_identity.py"	"runtime-import"	"C2ECBAF99CDCCE5CCDB9B3F5EAD8C19528687E0CA19E9021B707F453B7AA59C6"	"C2ECBAF99CDCCE5CCDB9B3F5EAD8C19528687E0CA19E9021B707F453B7AA59C6"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel.py"	"scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel.py"	"runtime-import"	"8D839A2F628A311DCC2C951D7A23974A2276FF11031ADD2984FF708854B0C2E5"	"8D839A2F628A311DCC2C951D7A23974A2276FF11031ADD2984FF708854B0C2E5"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/c3_zero_variant_pair.py"	"scripts/baseScripts/p5_general_synchronous/c3_zero_variant_pair.py"	"runtime-import"	"45AE0B848819A56F690953A15D1722C266FD55D02E07D67F4115103CFA5AE9C0"	"45AE0B848819A56F690953A15D1722C266FD55D02E07D67F4115103CFA5AE9C0"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/c2_fourier_coverage.py"	"scripts/baseScripts/p5_general_synchronous/c2_fourier_coverage.py"	"runtime-import"	"757F97E14657CC7046177C2D33115CA87639B9C92E89BDABE2BFF3B4380DF3FC"	"757F97E14657CC7046177C2D33115CA87639B9C92E89BDABE2BFF3B4380DF3FC"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/cdi_c1_coverage.py"	"scripts/baseScripts/p5_general_synchronous/cdi_c1_coverage.py"	"runtime-import"	"D57CA8CA5571A07440A987F4FB0DDA08A40DAF7EA8C95AF929FC5C936F2FCE0F"	"D57CA8CA5571A07440A987F4FB0DDA08A40DAF7EA8C95AF929FC5C936F2FCE0F"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/cdi_support_ladder.py"	"scripts/baseScripts/p5_general_synchronous/cdi_support_ladder.py"	"runtime-import"	"A8257E2195E2AB61B5C4195B80EA44EE7669B5A52F9C8440BA5F5244190E3068"	"A8257E2195E2AB61B5C4195B80EA44EE7669B5A52F9C8440BA5F5244190E3068"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/full_ra_b1_preflight_v2.py"	"scripts/baseScripts/p5_general_synchronous/full_ra_b1_preflight_v2.py"	"runtime-import"	"27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C"	"27C0D6ADA828CA2F59C0D128EB6339074D5940F294272CDABE8127CB84867C7C"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/full_ra_b1_preflight.py"	"scripts/baseScripts/p5_general_synchronous/full_ra_b1_preflight.py"	"runtime-import"	"62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D"	"62D6DEEFBDB81C0619FD58C668185FF9CA76926A90D00DCE9C092AD4797D6B5D"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/full_ra_contract.py"	"scripts/baseScripts/p5_general_synchronous/full_ra_contract.py"	"runtime-import"	"F3839DA931D24939FA9C5925FD29B1484E722D1A0F24117DC91EBE5F4436D464"	"F3839DA931D24939FA9C5925FD29B1484E722D1A0F24117DC91EBE5F4436D464"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/full_ra_m3_seed.py"	"scripts/baseScripts/p5_general_synchronous/full_ra_m3_seed.py"	"runtime-import"	"070F217B45A385369ECAFAA3D409A1210BAE3C3AF8A600A9171225B258751BF2"	"070F217B45A385369ECAFAA3D409A1210BAE3C3AF8A600A9171225B258751BF2"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/mode_resolved_puiseux_v2_m1_anchored.py"	"scripts/baseScripts/p5_general_synchronous/mode_resolved_puiseux_v2_m1_anchored.py"	"runtime-import"	"5DE2C280B0E9DAF528A9E3011368361B37AE53DE38827FB6F6CE4AB2019A4455"	"5DE2C280B0E9DAF528A9E3011368361B37AE53DE38827FB6F6CE4AB2019A4455"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/mode_resolved_puiseux.py"	"scripts/baseScripts/p5_general_synchronous/mode_resolved_puiseux.py"	"runtime-import"	"5A89CF82006CB5ECC1D8B4BE1FD56A463453EE3D6261968CB64DE8CCF2C8B7AE"	"5A89CF82006CB5ECC1D8B4BE1FD56A463453EE3D6261968CB64DE8CCF2C8B7AE"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/nid_c1_coverage.py"	"scripts/baseScripts/p5_general_synchronous/nid_c1_coverage.py"	"runtime-import"	"EEEE74848B6F4413914F0CC60230CC824982C7E485A38C77C4495F807975A2CD"	"EEEE74848B6F4413914F0CC60230CC824982C7E485A38C77C4495F807975A2CD"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/niv_c1_coverage.py"	"scripts/baseScripts/p5_general_synchronous/niv_c1_coverage.py"	"runtime-import"	"B222554E8F6E664DAC674E394FED02A02ECBEE432ADEDC9A9682DFA6BB746E9D"	"B222554E8F6E664DAC674E394FED02A02ECBEE432ADEDC9A9682DFA6BB746E9D"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/niv_support_step2_v2_finite_owner.py"	"scripts/baseScripts/p5_general_synchronous/niv_support_step2_v2_finite_owner.py"	"runtime-import"	"F920F51313B44450DABC5A526769C42CD9A3988CBEB011A7954A0F88A4A7006D"	"F920F51313B44450DABC5A526769C42CD9A3988CBEB011A7954A0F88A4A7006D"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/niv_support_step2.py"	"scripts/baseScripts/p5_general_synchronous/niv_support_step2.py"	"runtime-import"	"2B41B11E2C27B1FB5462AF0629C0478BBFF6A1343C317D7F6E6C045C0260F680"	"2B41B11E2C27B1FB5462AF0629C0478BBFF6A1343C317D7F6E6C045C0260F680"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/s_c0_coefficient_passport_v2_numpy_scalar.py"	"scripts/baseScripts/p5_general_synchronous/s_c0_coefficient_passport_v2_numpy_scalar.py"	"runtime-import"	"06EE03C939FBCCFA6FA130421EEF98D0B8CC7571937EF02A7A46A57367534C11"	"06EE03C939FBCCFA6FA130421EEF98D0B8CC7571937EF02A7A46A57367534C11"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/s_c0_coefficient_passport.py"	"scripts/baseScripts/p5_general_synchronous/s_c0_coefficient_passport.py"	"runtime-import"	"C370B610815AFAC345C990E3CFE516D616873F39598F468A5ADBF2C65A2A6B95"	"C370B610815AFAC345C990E3CFE516D616873F39598F468A5ADBF2C65A2A6B95"	"complete transitive local import closure for official KMPC-131"
"REPRO/scripts/baseScripts/p5_general_synchronous/s1_collective_contract.py"	"scripts/baseScripts/p5_general_synchronous/s1_collective_contract.py"	"runtime-import"	"F535EE15137BBD6F9C0379821C9CC94DED8EC56037B6105B75BEF65A5884EE68"	"F535EE15137BBD6F9C0379821C9CC94DED8EC56037B6105B75BEF65A5884EE68"	"complete transitive local import closure for official KMPC-131"
