"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__EA036_EXTERNAL_AUDIT.md"	"External_Audits/RESPONSES/EA-20260720-036-KMPC131-C3-NIV-FIRST-REVIEW/00_AUDITOR_AUDIT.md"	"external-audit"	"2D34CD6659E26134C697A79553374305F70AA10D53666727645D7882ED759746"	"2D34CD6659E26134C697A79553374305F70AA10D53666727645D7882ED759746"	"EA-036 findings requiring T2 closure"
"EVIDENCE/002__EA036_MAIN_ASSESSMENT.md"	"External_Audits/RESPONSES/EA-20260720-036-KMPC131-C3-NIV-FIRST-REVIEW/01_MAIN_ORCHESTRATOR_ASSESSMENT_2026-07-22.md"	"derived"	"F9CFAB869F2BF989220A381DB4814C6C4648D620D080D5C60188B2259F7DBAF8"	"F9CFAB869F2BF989220A381DB4814C6C4648D620D080D5C60188B2259F7DBAF8"	"authoritative acceptance and repair scope"
"EVIDENCE/003__NIV_K0p15_PREREGISTRATION.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/236_KMPC_131_C3_NIV_K0P15_ZERO_PAIR_PREREGISTRATION_SK.md"	"primary"	"40F1F97343AA69B2DE07BD299D81C4D0E2F9DEAC325B9B74A2E7A92DFBD3462E"	"40F1F97343AA69B2DE07BD299D81C4D0E2F9DEAC325B9B74A2E7A92DFBD3462E"	"frozen KMPC-131 question and execution ledger"
"EVIDENCE/004__NIV_K0p15_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/237_KMPC_131_C3_NIV_K0P15_FIRST_REVIEW_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"AE9B58F76B76705409DCD4DC93CCAED78F250ADE9851B54079B483A6C1F8A120"	"AE9B58F76B76705409DCD4DC93CCAED78F250ADE9851B54079B483A6C1F8A120"	"authoritative REVIEW and unchanged accounting"
"EVIDENCE/005__KMPC131_NIV_K0p15_REVIEW_REFERENCE.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NIV_K0p15_ZERO_VARIANT_PAIR.json"	"raw-result"	"88DFD9AAD5F378CBD9F7E7D1AA9738C40855CA0EC9FD191A77C682D643A0CFE6"	"88DFD9AAD5F378CBD9F7E7D1AA9738C40855CA0EC9FD191A77C682D643A0CFE6"	"reference for corrected field parity"
"REPRO/scripts/375_script_KMPC_131_P5_3g7_C3_four_support_shards.py"	"scripts/375_script_KMPC_131_P5_3g7_C3_four_support_shards.py"	"executable-primary"	"45EB5E641FB9C4F5868A4754E84A2518C1DA0D64475520027B73EAE1A6AEBBB2"	"45EB5E641FB9C4F5868A4754E84A2518C1DA0D64475520027B73EAE1A6AEBBB2"	"official runner"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_127_P5_3G7_C2_FOURIER_COVERAGE_AUTHORITATIVE_AGGREGATE.json"	"scripts/results/k_mpc_005/RUN_KMPC_127_P5_3G7_C2_FOURIER_COVERAGE_AUTHORITATIVE_AGGREGATE.json"	"runtime-prerequisite"	"CA33E4167953F2112AFF13E186E7D8E47A135FE947B837D63CCE5F7F5B0D247F"	"CA33E4167953F2112AFF13E186E7D8E47A135FE947B837D63CCE5F7F5B0D247F"	"C2 aggregate authority"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_126_P5_3G7_C2_NIV_K0p15_SUPPORT_06_08_MULTI_RANK_REFINEMENT.json"	"scripts/results/k_mpc_005/RUN_KMPC_126_P5_3G7_C2_NIV_K0p15_SUPPORT_06_08_MULTI_RANK_REFINEMENT.json"	"runtime-prerequisite"	"1D46AFD1CDEB650A7787A5E6FE9E2304A5212FF1FE9AA47657BEAAAA557B8AA0"	"1D46AFD1CDEB650A7787A5E6FE9E2304A5212FF1FE9AA47657BEAAAA557B8AA0"	"nominal authority"
"REPRO/scripts/88_script_A2_K4_3b_RG_BR1_synchronous_Einstein_and_transfer_ledger.py"	"scripts/88_script_A2_K4_3b_RG_BR1_synchronous_Einstein_and_transfer_ledger.py"	"runtime-hash-prerequisite"	"0F13DA6CE761CFEF99909B492E30CF5ED751F56A555594334729330ED4888364"	"0F13DA6CE761CFEF99909B492E30CF5ED751F56A555594334729330ED4888364"	"EA-036 F-001 exact algebra lineage source"
"REPRO/tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/26_P5_3G7_M1_STANDARD_METRIC_SOURCE_MAP_SK.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/26_P5_3G7_M1_STANDARD_METRIC_SOURCE_MAP_SK.md"	"runtime-hash-prerequisite"	"7C927999F0D5BAECD0E45E52DFF760FA17DC0A48A3799242D147AEDE4228999B"	"7C927999F0D5BAECD0E45E52DFF760FA17DC0A48A3799242D147AEDE4228999B"	"EA-036 F-001 exact source map"
