"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__EA037_EXTERNAL_AUDIT.md"	"External_Audits/RESPONSES/EA-20260722-037-KMPC131-C3-NIV-T2-RUNTIME-CLOSURE/00_AUDITOR_AUDIT.md"	"external-audit"	"8946C9E2E9363C6FEC9F70E7B35E3CB7A9990D59AA80EF2E92074AD8B356CFAF"	"8946C9E2E9363C6FEC9F70E7B35E3CB7A9990D59AA80EF2E92074AD8B356CFAF"	"T2 authority for unchanged KMPC-131 runtime base"
"EVIDENCE/002__EA037_MAIN_ASSESSMENT.md"	"External_Audits/RESPONSES/EA-20260722-037-KMPC131-C3-NIV-T2-RUNTIME-CLOSURE/01_MAIN_ORCHESTRATOR_ASSESSMENT_2026-07-22.md"	"derived"	"B0E10955C9C1C3583B8B6D55628BAD676F16563E6F39D8D62C3063C97B3B21B0"	"B0E10955C9C1C3583B8B6D55628BAD676F16563E6F39D8D62C3063C97B3B21B0"	"authoritative acceptance and successor scope"
"EVIDENCE/003__KMPC146_PREREGISTRATION.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/238_KMPC_146_C3_NIV_K0P15_MULTI_RANK_REFINEMENT_PREREGISTRATION_SK.md"	"primary"	"4A7966FD645C9E887655F55B51CD37EC8FB40253F5272B42FBE5FBD6470D0B93"	"4A7966FD645C9E887655F55B51CD37EC8FB40253F5272B42FBE5FBD6470D0B93"	"frozen KMPC-146 question and execution ledger"
"EVIDENCE/004__KMPC146_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/239_KMPC_146_C3_NIV_K0P15_RESULT_AND_INTERNAL_AUDIT_SK.md"	"derived"	"C3CAB8EFCD24A5706F10D75C36A1BCDBBFCC55A61D14542F4E663DF874AA63B7"	"C3CAB8EFCD24A5706F10D75C36A1BCDBBFCC55A61D14542F4E663DF874AA63B7"	"PF-129 diagnosis and unchanged accounting"
"EVIDENCE/005__KMPC147_PREREGISTRATION.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/240_KMPC_147_C3_NIV_K0P15_READ_ONLY_F0_PARITY_CORRECTION_PREREGISTRATION_SK.md"	"primary"	"8CA147622A67600859A31B83C99112F841828F861A8FCE1326B231A03181F95B"	"8CA147622A67600859A31B83C99112F841828F861A8FCE1326B231A03181F95B"	"frozen read-only correction contract"
"EVIDENCE/006__NIV_MODE_CLOSURE_INTERNAL_AUDIT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/241_KMPC_131_146_147_C3_NIV_MODE_CLOSURE_INTERNAL_AUDIT_SK.md"	"derived"	"E979E0554153E9143F0EAB20252811C229238F538D45EB6A921E0CD4F322417D"	"E979E0554153E9143F0EAB20252811C229238F538D45EB6A921E0CD4F322417D"	"authoritative NIV 9/9 and C3 45/45 accounting"
"EVIDENCE/007__KMPC147_PASS_REFERENCE.json"	"scripts/results/k_mpc_005/RUN_KMPC_147_P5_3G7_C3_NIV_K0p15_READ_ONLY_F0_PARITY_CORRECTION.json"	"raw-result"	"2780A8D6527C892E1EF665B59D514DD94A95495D536C56DFE3332A113956B16E"	"2780A8D6527C892E1EF665B59D514DD94A95495D536C56DFE3332A113956B16E"	"reference for T2 corrected field parity"
"SOURCE_REVIEW/390_script_KMPC_146_P5_3g7_C3_NIV_k0p15_multi_rank_refinement.py"	"scripts/390_script_KMPC_146_P5_3g7_C3_NIV_k0p15_multi_rank_refinement.py"	"T1-source"	"C3B7E7B41B53891F5E5C86FC1604B1430D246350E31F1334B2071C0A6294ADEB"	"C3B7E7B41B53891F5E5C86FC1604B1430D246350E31F1334B2071C0A6294ADEB"	"KMPC-146 process runner source review"
"SOURCE_REVIEW/c3_zero_variant_parallel_v10_niv_k0p15_multi_rank_refinement.py"	"scripts/baseScripts/p5_general_synchronous/c3_zero_variant_parallel_v10_niv_k0p15_multi_rank_refinement.py"	"T1-primary-source"	"46365EF983E7ECAE53B804E0882730CE96475554533EB0029FAFF12FA5037D91"	"46365EF983E7ECAE53B804E0882730CE96475554533EB0029FAFF12FA5037D91"	"KMPC-146 four-shard overlay and audit composition"
"SOURCE_REVIEW/c2_same_matrix_refinement_v2_multi_rank.py"	"scripts/baseScripts/p5_general_synchronous/c2_same_matrix_refinement_v2_multi_rank.py"	"T1-primary-source"	"1E2600C366590B7FC56289D1FBC386EF24DA50DA9ED5686AE5FB5A50E0992F08"	"1E2600C366590B7FC56289D1FBC386EF24DA50DA9ED5686AE5FB5A50E0992F08"	"rank-104/130 refinement routing"
"SOURCE_REVIEW/c2_cdi_k0p15_same_matrix_refinement.py"	"scripts/baseScripts/p5_general_synchronous/c2_cdi_k0p15_same_matrix_refinement.py"	"T1-primary-source"	"EA589E4CBAD3AD618DEBC41C81B271EAC23F229AEA82C80E962CD792091468F6"	"EA589E4CBAD3AD618DEBC41C81B271EAC23F229AEA82C80E962CD792091468F6"	"three-correction same-matrix algorithm"
"SOURCE_REVIEW/c2_single_atom_adapter.py"	"scripts/baseScripts/p5_general_synchronous/c2_single_atom_adapter.py"	"T1-lineage-source"	"C018ACB17311A8CB522FB612AB0EDD1DD5B9C47E16DC5D915A5F6DAF4204BAF8"	"C018ACB17311A8CB522FB612AB0EDD1DD5B9C47E16DC5D915A5F6DAF4204BAF8"	"refinement physics owner lineage"
"REPRO/scripts/391_script_KMPC_147_P5_3g7_C3_NIV_k0p15_read_only_f0_parity_correction.py"	"scripts/391_script_KMPC_147_P5_3g7_C3_NIV_k0p15_read_only_f0_parity_correction.py"	"executable-primary"	"8DEFEDED804EEE350CA57CDD5CD450500757653C43379A792435488CD1EB65E6"	"8DEFEDED804EEE350CA57CDD5CD450500757653C43379A792435488CD1EB65E6"	"self-contained T2 read-only runner"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_146_P5_3G7_C3_NIV_K0p15_ZERO_VARIANT_PAIR_MULTI_RANK_REFINEMENT.json"	"scripts/results/k_mpc_005/RUN_KMPC_146_P5_3G7_C3_NIV_K0p15_ZERO_VARIANT_PAIR_MULTI_RANK_REFINEMENT.json"	"runtime-prerequisite-primary-result"	"BA595163C3A2E1D464558B035FE478A16E36678FA215C46B124E4062DC77227E"	"BA595163C3A2E1D464558B035FE478A16E36678FA215C46B124E4062DC77227E"	"KMPC-147 source and KMPC-146 T1 raw"
"REPRO/scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NIV_K0p15_ZERO_VARIANT_PAIR.json"	"scripts/results/k_mpc_005/RUN_KMPC_131_P5_3G7_C3_NIV_K0p15_ZERO_VARIANT_PAIR.json"	"runtime-prerequisite"	"88DFD9AAD5F378CBD9F7E7D1AA9738C40855CA0EC9FD191A77C682D643A0CFE6"	"88DFD9AAD5F378CBD9F7E7D1AA9738C40855CA0EC9FD191A77C682D643A0CFE6"	"exact predecessor for four F0 parity projections"
