"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__PRIMARY_SM_V1_EVENT_CATALOG_LINEAGE_B3_B5.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/245_A1_K1_A2_K4_P5_3_SM_v1_AUTHOR_INPUT_CONTRACT_DRAFT_SK.md"	"primary-formula"	"71FAF938FD2E0378AE43021C45060CEFB719BD3211FF21562CCE9C158D73D7A9"	"71FAF938FD2E0378AE43021C45060CEFB719BD3211FF21562CCE9C158D73D7A9"	"B3-B5 primary formula, lineage and definition inventory"
"EVIDENCE/002__INTRODUCTION_AND_PHILOSOPHY_SK.md"	"theory/SK/01_Introduction_and_Philosophy_SK.md"	"theory-philosophy"	"678FA9C1AC3C24916FE2E75BEAB6E164ED95933CBE4A1F530C47978AB23AC8A1"	"678FA9C1AC3C24916FE2E75BEAB6E164ED95933CBE4A1F530C47978AB23AC8A1"	"Cellular digestion, overhead, failure, steam and ash semantics"
"EVIDENCE/003__MAIN_THEORY_V3_17_SK.md"	"theory/SK/04_Main_Document_Theory_Equations_Values_v3.17_SK.md"	"primary-theory-lineage"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"Primary A2, A7 and A12 formula lineage"
"EVIDENCE/004__Q4_FAILURE_SCAR_DEFINITION_GATE.md"	"Questions/Q4_problem_epsilon_jazvy_kolaje_K1-K4.md"	"definition-gate"	"B87B256236D7F0194097FA315C9B97BE3A37D053978EAC63301F4D9B8A999FB3"	"B87B256236D7F0194097FA315C9B97BE3A37D053978EAC63301F4D9B8A999FB3"	"Exact eight-item Q4-P0 definition passport"
"EVIDENCE/005__Q22A_Q4_Q72_OPERATOR_BRIDGE_AUDIT.md"	"Audit/Q22A_Q4_Q72_MICROPHYSICAL_OPERATOR_BRIDGE_AUDIT_2026-07-15.md"	"operator-bridge-audit"	"4E6057E20BB7B4D1EC7F046F2D086472F1F411F96A9B6C188E25CFA4C0ED4B1B"	"4E6057E20BB7B4D1EC7F046F2D086472F1F411F96A9B6C188E25CFA4C0ED4B1B"	"Existing bridge blocker and required moments"
"EVIDENCE/006__Q22A_MINIMAL_DIVISION_OPERATOR_CONTRACT.md"	"Questions/Q22A_MINIMAL_DIVISION_OPERATOR_CONTRACT_SK.md"	"operator-contract"	"1D774F73B3DB54CE04B2BCC673CC910148A58F5F20AE7FCBCEEEC93FCBAF5845"	"1D774F73B3DB54CE04B2BCC673CC910148A58F5F20AE7FCBCEEEC93FCBAF5845"	"Minimal covariant event and product contract"
"EVIDENCE/007__AR46_Q72_PARTICLE_PRODUCTION_MOMENTS.md"	"theory/SK/05zzzzzzzzzzzzzzzzz_Methodology_Rules_and_Question_Register_Particle_Production_Moments_SK.md"	"methodology"	"7F8332ED1E2B13825CB2C40C170B19028991A1A4DCB376956AC8477BD42C1D20"	"7F8332ED1E2B13825CB2C40C170B19028991A1A4DCB376956AC8477BD42C1D20"	"AR46/Q72 moment completeness and no-double-count rule"
"EVIDENCE/008__A2_K8_1_G2_NUMBER_SOURCE_MOMENT_AUDIT.md"	"Audit/A2_K8_1_G2_NUMBER_SOURCE_MOMENT_AUDIT.md"	"moment-audit"	"5C5FDD9E23AE6E0FFF1F78A4F44A28AFE453EDFAF3B0F436CE16A5B4B9C10FDA"	"5C5FDD9E23AE6E0FFF1F78A4F44A28AFE453EDFAF3B0F436CE16A5B4B9C10FDA"	"Scalar source does not determine full momentum and collision operator"
"EVIDENCE/009__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"authoritative-plan"	"460289DF2B4C6F0172C46752E6D3EEC785FE18735B4E670494456770CBEC45E4"	"460289DF2B4C6F0172C46752E6D3EEC785FE18735B4E670494456770CBEC45E4"	"Authoritative D03, K4 and blocked-route state"
"EVIDENCE/010__FORMULA_PROVENANCE_CHECKLIST_AR66_2.md"	"Independent_Audits/Implementation_Lineage/10_FORMULA_PROVENANCE_CHECKLIST_SK.md"	"formula-provenance-checklist"	"F63784337AC8EDF2543195847794D14885212C2725EA44B5EE1634E0BFBBB971"	"F63784337AC8EDF2543195847794D14885212C2725EA44B5EE1634E0BFBBB971"	"Exact AR66.2 formula-lineage checklist"
