"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__PRIMARY_B6B_FAMILY_MAP.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/245_A1_K1_A2_K4_P5_3_SM_v1_AUTHOR_INPUT_CONTRACT_DRAFT_SK.md"	"primary-formula"	"AF289165385801F019454F2CAFF41EFEB25D0A3E2444FA73EAF6B6EBF4E901CB"	"AF289165385801F019454F2CAFF41EFEB25D0A3E2444FA73EAF6B6EBF4E901CB"	"B6b MF1-MF4 family map, mantles and staged falsification"
"EVIDENCE/002__INTRODUCTION_AND_PHILOSOPHY_SK.md"	"theory/SK/01_Introduction_and_Philosophy_SK.md"	"theory-philosophy"	"678FA9C1AC3C24916FE2E75BEAB6E164ED95933CBE4A1F530C47978AB23AC8A1"	"678FA9C1AC3C24916FE2E75BEAB6E164ED95933CBE4A1F530C47978AB23AC8A1"	"Cellular division, digestion, steam, matter and ash semantics"
"EVIDENCE/003__MAIN_THEORY_A2_A7_A12_A15.md"	"theory/SK/04_Main_Document_Theory_Equations_Values_v3.17_SK.md"	"primary-theory-lineage"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"Primary A2, A7, A12 and A15 lineage"
"EVIDENCE/004__Q22A_CONSTRAINT_TO_FUNCTION_PROTOCOL.md"	"Questions/Q22A_CONSTRAINT_TO_FUNCTION_DERIVATION_PROTOCOL_SK.md"	"derivation-protocol"	"5B6BE06FFD3C15B9E750BB0BAED6E5936B92F4A4DC9FCB1A264444E2C7BAD54E"	"5B6BE06FFD3C15B9E750BB0BAED6E5936B92F4A4DC9FCB1A264444E2C7BAD54E"	"Singleton, family, parallel-sum and empty-set outcomes"
"EVIDENCE/005__Q22A_EARLY_STEAM_CONSTRAINT_LEDGER.md"	"Questions/Q22A_EARLY_STEAM_FUNCTION_CONSTRAINT_LEDGER_SK.md"	"constraint-ledger"	"8F1DF72F056A183D156776F0CD507FAB0FAF6D44A8C75D1E2F487ADB90551A24"	"8F1DF72F056A183D156776F0CD507FAB0FAF6D44A8C75D1E2F487ADB90551A24"	"M0-M10 physical and observational mantles"
"EVIDENCE/006__P5_S1_SUPPORT_TRANSFER_CONTRACT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/51_P5_3G7_S1_BRANCH_AND_SUPPORT_TRANSFER_CONTRACT_SK.md"	"moment-contract"	"83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424"	"83AEAF11F8C8BA70ED4535DAB949DB3FB7DDA9E2583896BF9B347C8CEBAFA424"	"Background source is insufficient without perturbation moments"
"EVIDENCE/007__WORKING_METHODOLOGY_REGISTER.md"	"tracks/METHODOLOGY/05_WORKING_Methodology_Rules_and_Question_Register_SK.md"	"methodology"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"No hidden fit, conservation, prediction and falsification rules"
"EVIDENCE/008__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"authoritative-plan"	"DAB22DE62D5570C5984040B6342FF2A4531922EDD2307492DDD1C214A7BD3E1A"	"DAB22DE62D5570C5984040B6342FF2A4531922EDD2307492DDD1C214A7BD3E1A"	"Authoritative B6b, D03, score and next-action state"
"EVIDENCE/009__FORMULA_PROVENANCE_CHECKLIST_AR66_2.md"	"Independent_Audits/Implementation_Lineage/10_FORMULA_PROVENANCE_CHECKLIST_SK.md"	"formula-provenance-checklist"	"F63784337AC8EDF2543195847794D14885212C2725EA44B5EE1634E0BFBBB971"	"F63784337AC8EDF2543195847794D14885212C2725EA44B5EE1634E0BFBBB971"	"Exact AR66.2 formula-lineage checklist"
"EVIDENCE/010__AGENTS.md"	"AGENTS.md"	"ruleset-bootstrap"	"BD64D6AC1C583194A67B3ABC5423467AF3F5F292F0293AF68F02AA3BBC503EE5"	"BD64D6AC1C583194A67B3ABC5423467AF3F5F292F0293AF68F02AA3BBC503EE5"	"Repository rules for isolated audit"
