"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"00_SCOPE_AND_READ_ORDER.md"	"PACKAGE_GENERATED"	"package-control"	"PACKAGE_GENERATED"	"C9D7D19B487C6794CE1B560E1BB217EFF11D477B18EB034DF2BD79357865C3CD"	"Curator control binding the mandatory static-reference protocol classification and sealed lifecycle"
"EVIDENCE/001__Q1R6_LOCAL_REPROCESS_PREREGISTRATION.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/279_B6B2_10_H_RDIV_C01_RW1_V1_Q1R6_IMMUTABLE_ARCHIVE_LOCAL_REPROCESS_W10_PREREGISTRATION_SK.md"	"frozen-preregistration"	"266BCABBF7C7AEA87E9E01BC1120FDF3E44CE7841FC892AF391CD11B060C1228"	"266BCABBF7C7AEA87E9E01BC1120FDF3E44CE7841FC892AF391CD11B060C1228"	"Frozen local-only classifier, scope, branches and no-Python contract"
"EVIDENCE/002__Q1R6_ARXIV_2204_13120_SOURCE.tar.gz"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/277A_B6B2_10_Q1R6_ARXIV_SOURCE.tar.gz"	"primary-source-archive"	"5CE87BF1E5D9CF0D170439D14EA4F1A6898453799810F834E68E5A179C335416"	"5CE87BF1E5D9CF0D170439D14EA4F1A6898453799810F834E68E5A179C335416"	"Sole physical copy of the immutable arXiv source archive; no extracted duplicate"
"EVIDENCE/003__Q1R6_LOCAL_REPROCESS_RECEIPT.txt"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/279A_B6B2_10_Q1R6_LOCAL_REPROCESS_COMPLETE_SOURCE_RECEIPT.txt"	"raw-integrity-receipt"	"3D0A958E41298339173152DAB2561F5A6F6FF691DBFB1F0813CBFF15338CDEDA"	"3D0A958E41298339173152DAB2561F5A6F6FF691DBFB1F0813CBFF15338CDEDA"	"Complete-source classification, archive inventory and inner-file hashes"
"EVIDENCE/004__Q1R6_S0_S13_RESULT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/280_B6B2_10_H_RDIV_C01_RW1_V1_Q1R6_LOCAL_REPROCESS_S0_S13_RESULT_SK.md"	"derived-result"	"1139875C9D485BA64F19C573D8A727A1E77BE17F9C61116B0E711E484DB394E6"	"1139875C9D485BA64F19C573D8A727A1E77BE17F9C61116B0E711E484DB394E6"	"Reference-only passport and S0-S13 disposition under audit"
"EVIDENCE/005__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"authoritative-state-context"	"D0A1606CF3A0741E7AF8D07AF326C1787B3B4984636D31E6653DADDEBBC8588F"	"D0A1606CF3A0741E7AF8D07AF326C1787B3B4984636D31E6653DADDEBBC8588F"	"Global active-route and nonclaim context"
"EVIDENCE/006__A2K4_WORK_PLAN.md"	"tracks/A1/A1K1/A2/A2K4/00_WORK_PLAN.md"	"route-context"	"54F2F25CE00F0C90F890B08D7F6BF736A91F8A429619D31664B9CFB7F7708F48"	"54F2F25CE00F0C90F890B08D7F6BF736A91F8A429619D31664B9CFB7F7708F48"	"A2-K4 decision and blocker context"
"EVIDENCE/007__P5_WORK_PLAN.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/00_WORK_PLAN.md"	"route-context"	"A3945FC73E814544FFF6A910410C1AC48EA214EA681654EFEC1A0E8A35DDD18F"	"A3945FC73E814544FFF6A910410C1AC48EA214EA681654EFEC1A0E8A35DDD18F"	"P5.3 work-atom accounting context"
"EVIDENCE/008__EVENT_LEDGER_THROUGH_TASK266.md"	"tracks/A1/A1K1/A2/A2K4/HISTORY/00_EVENT_LEDGER.md"	"append-only-provenance"	"010E98AD708B3873DFA8DDAF191389BCEA6DB1C3596ADA80ADFBE43D1480DCFE"	"010E98AD708B3873DFA8DDAF191389BCEA6DB1C3596ADA80ADFBE43D1480DCFE"	"Frozen task chronology through 266"
"EVIDENCE/009__AGENTS.md"	"AGENTS.md"	"ruleset-bootstrap"	"226710D6467FE923D6F2CBAFF02CE9235F1B48C07C4A9DACD95C6B06486B2B29"	"226710D6467FE923D6F2CBAFF02CE9235F1B48C07C4A9DACD95C6B06486B2B29"	"Repository rules for isolated audit"
