"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"00_SCOPE_AND_READ_ORDER.md"	"PACKAGE_GENERATED"	"package-control"	"PACKAGE_GENERATED"	"529A72CFA9EBA309BBEEAF7C88D0CAB168B3DCF6EC3DD0E06C295E8834C4C41A"	"Scope, authority, classification and sealed lifecycle control"
"EVIDENCE/001__Q1R6_PREREG.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/279_B6B2_10_H_RDIV_C01_RW1_V1_Q1R6_IMMUTABLE_ARCHIVE_LOCAL_REPROCESS_W10_PREREGISTRATION_SK.md"	"frozen-preregistration"	"266BCABBF7C7AEA87E9E01BC1120FDF3E44CE7841FC892AF391CD11B060C1228"	"266BCABBF7C7AEA87E9E01BC1120FDF3E44CE7841FC892AF391CD11B060C1228"	"Frozen procedure"
"EVIDENCE/002__Q1R6_ARXIV_SOURCE.tar.gz"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/277A_B6B2_10_Q1R6_ARXIV_SOURCE.tar.gz"	"primary-source-archive"	"5CE87BF1E5D9CF0D170439D14EA4F1A6898453799810F834E68E5A179C335416"	"5CE87BF1E5D9CF0D170439D14EA4F1A6898453799810F834E68E5A179C335416"	"Sole archive copy"
"EVIDENCE/003__Q1R6_RECEIPT.txt"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/279A_B6B2_10_Q1R6_LOCAL_REPROCESS_COMPLETE_SOURCE_RECEIPT.txt"	"raw-integrity-receipt"	"3D0A958E41298339173152DAB2561F5A6F6FF691DBFB1F0813CBFF15338CDEDA"	"3D0A958E41298339173152DAB2561F5A6F6FF691DBFB1F0813CBFF15338CDEDA"	"Receipt"
"EVIDENCE/004__Q1R6_RESULT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/280_B6B2_10_H_RDIV_C01_RW1_V1_Q1R6_LOCAL_REPROCESS_S0_S13_RESULT_SK.md"	"derived-result"	"1139875C9D485BA64F19C573D8A727A1E77BE17F9C61116B0E711E484DB394E6"	"1139875C9D485BA64F19C573D8A727A1E77BE17F9C61116B0E711E484DB394E6"	"Result"
"EVIDENCE/005__AGENTS.md"	"AGENTS.md"	"ruleset-bootstrap"	"226710D6467FE923D6F2CBAFF02CE9235F1B48C07C4A9DACD95C6B06486B2B29"	"226710D6467FE923D6F2CBAFF02CE9235F1B48C07C4A9DACD95C6B06486B2B29"	"Rules"
"EVIDENCE/006__PROJECT_OPERATING_SYSTEM.md"	"tracks/00_PROJECT_OPERATING_SYSTEM.md"	"ruleset-bootstrap"	"519BDCBAE2CD9BF62351586E357DE3C9A28E60AD79CDB653661DD2821D65B6E7"	"519BDCBAE2CD9BF62351586E357DE3C9A28E60AD79CDB653661DD2821D65B6E7"	"OS"
"EVIDENCE/007__AUDITOR_PACKAGE_PROTOCOL_R6_1.md"	"External_Audits/00_AUDITOR_PACKAGE_PROTOCOL_SK.md"	"ruleset-bootstrap"	"E22381E0463196384EC126C23E7C62E6AF1BA1EAFC98FB85FECC6444E6CBBD01"	"E22381E0463196384EC126C23E7C62E6AF1BA1EAFC98FB85FECC6444E6CBBD01"	"Protocol"
"EVIDENCE/008__EXTERNAL_AUDITOR_ROLE.toml"	".codex/agents/external_auditor.toml"	"role-bootstrap"	"26DEF062FB7D5034194CC6326D1E2D5128CB5E657328410DFA80781418A4A2F6"	"26DEF062FB7D5034194CC6326D1E2D5128CB5E657328410DFA80781418A4A2F6"	"Supported profile"
"EVIDENCE/009__AGENT_ROLE_MANIFEST.md"	".codex/agents/00_MANIFEST.md"	"role-bootstrap"	"E5A00F74442F327C8AB6892ABF73C2F84E0F22C5A3A456C2AE61E9AA18AFD119"	"E5A00F74442F327C8AB6892ABF73C2F84E0F22C5A3A456C2AE61E9AA18AFD119"	"Binding"
