"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"00_SCOPE_AND_READ_ORDER.md"	"PACKAGE_GENERATED"	"package-control-repair"	"PACKAGE_GENERATED"	"750EB17B9D71224AD4C2902AB6D9D1A2958CBC182561021C8FCA87C6F03A98CC"	"R2 P0 ruleset-map and parity-control closure scope"
"02_AUDITOR_INSTRUCTIONS.md"	"PACKAGE_GENERATED"	"package-control-repair"	"PACKAGE_GENERATED"	"827BC18EFAA6D01F990FCA9905119A0ADBA6AB3CD7079CC84DF817219C56DEEB"	"Package-only R2 static follow-up auditor contract"
"03_REPRODUCTION_AND_EXPECTATIONS.md"	"PACKAGE_GENERATED"	"package-control-repair"	"PACKAGE_GENERATED"	"3391D5A865DE6502F522E68EDF30867A6E49563248390E68CBF86EB33D0CBF35"	"R2 ruleset-map gate and corrected fresh-chain parity contract"
"04_RUNTIME_DEPENDENCY_MAP.tsv"	"PACKAGE_GENERATED"	"package-control"	"PACKAGE_GENERATED"	"02A3A4561BF9D3EB5B72234AAB582F8990EEFFD9A0C2A9EE6BEFF7A6FD78B3FE"	"Exact REPRO inventory"
"06_CHECKPOINT_PROVENANCE.tsv"	"PACKAGE_GENERATED"	"package-control"	"PACKAGE_GENERATED"	"5226E9504DD1B98B0317F92F51324BDC27288B8D029B6C88F8564AA8F02A57BE"	"Checkpoint DAG provenance"
"EVIDENCE/001__AGENTS.md"	"AGENTS.md"	"ruleset-bootstrap"	"472F31C5CAE790EFA16A815BE3183B7A2C1438E4961B2BE4A16AEAE0FF57BA72"	"472F31C5CAE790EFA16A815BE3183B7A2C1438E4961B2BE4A16AEAE0FF57BA72"	"Project authority and workflow rules"
"EVIDENCE/002__PROJECT_OPERATING_SYSTEM.md"	"tracks/00_PROJECT_OPERATING_SYSTEM.md"	"ruleset-bootstrap"	"45CDDF6CBD458CC8C18147C438557143E1EB962BB159058070A8CAA7E866921E"	"45CDDF6CBD458CC8C18147C438557143E1EB962BB159058070A8CAA7E866921E"	"Project operating system"
"EVIDENCE/003__AUDITOR_PACKAGE_PROTOCOL_R8.md"	"External_Audits/00_AUDITOR_PACKAGE_PROTOCOL_SK.md"	"ruleset-bootstrap"	"F0F8DB2F7A63666709CCC77E92B80C95F895752E3A16DDF62AA77B0D1D96279C"	"F0F8DB2F7A63666709CCC77E92B80C95F895752E3A16DDF62AA77B0D1D96279C"	"R8 isolated package protocol"
"EVIDENCE/004__EXTERNAL_AUDITOR_ROLE.toml"	".codex/agents/external_auditor.toml"	"role-bootstrap"	"98E55F94679F49D4DCE08E3281AE2A38F899B896E25726F9A3C2A85A9FC997E3"	"98E55F94679F49D4DCE08E3281AE2A38F899B896E25726F9A3C2A85A9FC997E3"	"External auditor role identity"
"EVIDENCE/005__V1_CONTRACT.md"	"tracks/RELEASE/V3_18/PT1_H0/ARTIFACTS/H0_S8_THREE_POINT_LEGACY_SENSITIVITY_CONTRACT_2026-07-30_SK.md"	"frozen-preregistration"	"865033E55783EFC48E8C67A8DF71ACE4798ED0E2DF01172F118894B706D07780"	"865033E55783EFC48E8C67A8DF71ACE4798ED0E2DF01172F118894B706D07780"	"Parent physics/numerical contract"
